school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
KENT RIDGE SECONDARY SCHOOL,http://www.kentridgesec.moe.edu.sg,147  WEST COAST ROAD,127368,67731127,na,67735119,na,KRSS@MOE.EDU.SG,"CLEMENTI MRT, HAW PAR VILLA MRT","30, 51, 143, 175, 176, 201, 282",MR KEH CHIN CHUAN BENEDICT,MR OW KWOK LEONG,NULL,NULL,NULL,NULL,NULL,CLEMENTI,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,na
KHENG CHENG SCHOOL,http://www.khengcheng.moe.edu.sg/,15   LORONG 3 TOA PAYOH,319580,62552502,na,62556569,na,kcs@moe.edu.sg,Braddell,"SBS 235,56,73,88,157,159,163,231,",MDM LEONG CHUI YIN SARAH,MR KHOO GHEE HAN,NULL,NULL,NULL,NULL,NULL,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na
KONG HWA SCHOOL,http://www.konghwa.moe.edu.sg,350  GUILLEMARD ROAD,399772,63421195,na,63421120,na,KONGHWA_SCH@MOE.EDU.SG,Dakota,"Service 7,70,70M,197(to Guillemard Road)",MR POON SIOW LENG RAYMOND,MDM FOO MEI PING,MS LEE LEY HAR,NULL,NULL,NULL,NULL,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na
KRANJI PRIMARY SCHOOL,http://kranjipri.moe.edu.sg,11   CHOA CHU KANG STREET 54,689189,67634812,na,67634568,na,kranji_ps@moe.edu.sg,Yew Tee MRT,"Bus No 307, 302",MDM GOH MEEI YUNN,MISS MARION DONNE TAY SZE LENG,NULL,NULL,NULL,NULL,NULL,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
KRANJI SECONDARY SCHOOL,http://www.kranjisec.moe.edu.sg,61   CHOA CHU KANG STREET 51,689333,67662464,na,67662095,na,kranji_ss@moe.edu.sg,"CHUA CHU KANG MRT, YEW TEE MRT",302,MR GOH SOON HOE,MR CHRISTOPHER THOMAS,MDM ONG LAY LING,NULL,NULL,NULL,NULL,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,http://www.kuochuanpresbyterianpri.moe.edu.sg,8    BISHAN STREET 13,579793,62595396,na,62588012,na,KCPPS@MOE.EDU.SG,Bishan MRT Station,"54, 56, 410, 410G",MRS YEE-TOH GEK KHIAW,MISS CHEW MAY,MR TOH KIM SING (ZHUO JINSHENG),NULL,NULL,NULL,NULL,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,http://www.kuochuanpresbyteriansec.moe.edu.sg,10   BISHAN STREET 13,579795,62593811,na,63536535,na,kcpss@moe.edu.sg,BISHAN MRT,"54, 56, 410G, 410W",MR JUSTIN TAN,MR TAN CHE CHUEN TIMOTHY,NULL,NULL,NULL,NULL,NULL,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
LAKESIDE PRIMARY SCHOOL,http://www.lakesidepri.moe.edu.sg/,161  Corporation Walk,618310,62620918,na,62621021,na,lakeside_ps@moe.edu.sg,Lakeside MRT,"30, 49, 98, 98M",MDM TAN SIEW KHIAN FINELLA,MISS NARAYANASAMY UMA RANI,MISS TAN HUI PING,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
LIANHUA PRIMARY SCHOOL,http://www.lianhuapri.moe.edu.sg/,2    BUKIT BATOK STREET 52,659243,65639502,na,65639591,na,lianhua_ps@moe.edu.sg,Bukit Gombak/Bukit Batok,945,MISS KIEW HUI LI PAMELA,MR CHUA KYNN HOWE LEONARD,MDM TAN WAN PHING JANICE,NULL,NULL,NULL,NULL,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
LOYANG VIEW SECONDARY SCHOOL,http://www.loyangviewsec.moe.edu.sg,12   PASIR RIS STREET 11,519073,65821727,na,65810557,na,loyangview_ss@moe.edu.sg,PASIR RIS MRT,"12, 21, 39, 53, 81, 109, 359, 518",MR LEE HAK BOON,MISS TAN CHOR HIANG,MS SAADIAH SAADON WYLDE,NULL,NULL,NULL,NULL,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
MAHA BODHI SCHOOL,http://www.mahabodhi.moe.edu.sg/,10   UBI AVENUE 1,408931,67442115,na,67443752,na,MBS@MOE.EDU.SG,"Eunos Station (Transfer Bus No.63, 63M) Ubi Station (Transfer Bus No. 137)","5,8,15,22,25,45,51,55,59,61,63,63M,65,66,93,94,854",MRS ELAINE QUEK-LIM HWEE BIN,MR LIM KIM MIN (LIN JINMIN),MDM WANG MING HWEE,NULL,NULL,NULL,NULL,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na
MANJUSRI SECONDARY SCHOOL,http://www.manjusrisec.moe.edu.sg,20   UBI AVENUE 1,408940,68424558,na,67454492,na,manjusri_ss@moe.edu.sg,"UBI MRT, MACPHERSON MRT","5, 8, 15, 22, 25, 45, 51, 55, 59, 61, 63, 63M, 65, 66, 93, 94, 137, 854",MR SIM CHONG BOON,MDM HENG WEI SHAN,MISS ELEANOR CHIA SHUEN LI,NULL,NULL,NULL,NULL,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,na
MARIS STELLA HIGH SCHOOL,http://www.marisstellahigh.moe.edu.sg,25   MOUNT VERNON ROAD,368051,62803880 (Sec),62827743 (Pri),62886905 (Sec),62827905 (Pri),msh@moe.edu.sg,BARTLEY MRT,"28, 93, 129, 158",MRS WOO SOO MIN,MRS MARIA KOH,MR LIM KAY WAH BENEDICT,MR TAN CHING HUAT,MR TAN KIM KOON,NULL,NULL,TOA PAYOH,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVELS,Yes,Yes,No,No,Chinese,na,na
MARSILING PRIMARY SCHOOL,http://www.marsilingpri.moe.edu.sg,31   WOODLANDS CENTRE ROAD,738927,62696193,na,62699050,na,MARSILING_PS@MOE.EDU.SG,Marsiling MRT Station,"856, 911, 912",MISS CHEE CHUERN HWEI CHERYL,MISS ESTHER ONG CHIN CHIN,MR TAN CHOON SHING,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
MARSILING SECONDARY SCHOOL,http://www.marsilingsec.moe.edu.sg,12   MARSILING ROAD,739110,68941413,na,68946156,na,MARSILING_SS@MOE.EDU.SG,MARSILING MRT,"913, 911",MR GOH AIK CHOON,MR TAY KIM SENG,NULL,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
MARYMOUNT CONVENT SCHOOL,HTTP://WWW.MARYMOUNTCONVENT.MOE.EDU.SG,20   Marymount Road,297754,6256 6701,6256 6532,6254 3080,na,enquire@marymount.edu.sg,Braddell MRT Station or  Caldecott MRT Station,"141, 235",MRS ALLISON LIM,MDM LEE SWEE MEI CHERYL,MDM TAN MEI MEI ANNA,NULL,NULL,NULL,NULL,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
MAYFLOWER PRIMARY SCHOOL,http://www.mayflowerpri.moe.edu.sg,6    Ang Mo Kio Avenue 2,569948,64520849,na,64534116,na,MAYFLOWER_PS@MOE.EDU.SG,Yio Chu Kang MRT Station.,"13,86,138,162,269,851,852,853.",MRS LIM- CHUA SIOW LING,MDM CHNG HWUI LIN WINEFREDE,MISS KONG YUIT CHAN NOELLE,NULL,NULL,NULL,NULL,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
MAYFLOWER SECONDARY SCHOOL,http://www.mayflowersec.moe.edu.sg,2    ANG MO KIO STREET 21,569384,64577783,na,64583284,na,MAYFLOWER_SS@MOE.EDU.SG,"ANG MO KIO MRT, MAYFLOWER MRT (Targeted to open in 2020)","71, 76, 132, 165, 166, 169, 262, 265, 268, 269",MDM LEE EET FONG,MR GOH KENG TENG GORDON,MR PRASHANT S/O JAYAPRAGAS,NULL,NULL,NULL,NULL,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
MEE TOH SCHOOL,http://www.meetoh.moe.edu.sg/,21   EDGEDALE PLAINS,828867,64893326,na,64893243,na,MEETOH_SCH@MOE.EDU.SG,Punggol Station,"3,62,83",MDM TAN SUN SUN,MDM TAN LAY WAH,MR LEE CHONG TART RONALD,NULL,NULL,NULL,NULL,PUNGGOL,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na
MERIDIAN PRIMARY SCHOOL,http://www.meridianpri.moe.edu.sg/,20   PASIR RIS ST 71,518798,65832125,na,65834993,na,MERIDIAN_PS@MOE.EDU.SG,Pasir Ris MRT Station,"3,359",MS LIZA BTE RAHMAT,DR LAU HOCK SOON,NULL,NULL,NULL,NULL,NULL,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
MERIDIAN SECONDARY SCHOOL,http://www.meridiansec.moe.edu.sg,31   PASIR RIS STREET 51,518901,65831387,na,65836467,na,meridian_sec@moe.edu.sg,PASIR RIS MRT,"39, 53, 81, 89, 109, 359, 403, 518",MDM TAN HWEE TSIAN HILDA,MR MOHD AZMAN B MOHD SIDEK,MRS ROSE CHEN,NULL,NULL,NULL,NULL,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
METHODIST GIRLS' SCHOOL (PRIMARY),http://www.mgs.sch.edu.sg,11   Blackmore Drive,599986,64694800,na,64624166,na,mgps@moe.edu.sg,King Albert Park MRT,"66, 67, 74, 77, 151, 154, 157, 170, 171, 174, 852, 961, 970",NG WUN HAR GRACE,MISS LIM JING WEN KAREN,MISS HANNAH CHIA CUI'E,NULL,NULL,NULL,NULL,BUKIT TIMAH,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
METHODIST GIRLS' SCHOOL (SECONDARY),http://www.mgs.moe.edu.sg,11   BLACKMORE DRIVE,599986,64694800,na,64698717,na,MGSS@MOE.EDU.SG,KING ALBERT PARK MRT,"66, 67, 74, 77, 151, 154, 157, 170, 174, 852, 961, 970",MISS NG WUN HAR GRACE,MDM WEE KHENG LIN CORINNE,MDM TAN P'ENG DIANA,NULL,NULL,NULL,NULL,BUKIT TIMAH,WEST,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,Yes,Chinese,Malay,Tamil
MILLENNIA INSTITUTE,http://www.millenniainstitute.moe.edu.sg,60   Bukit Batok West Avenue 8,658965,63023700,na,63023767,na,millennia_inst@moe.edu.sg,Bukit Batok (NS 2),"157, 174, 174e, 178, 506, 991, 941, 160M",MRS TAN WAN YU,MR CHIA GUO HAO,MR LIN GUOJING,NULL,NULL,NULL,NULL,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,CENTRALISED INSTITUTE,No,No,No,No,Chinese,Malay,Tamil
MONTFORT JUNIOR SCHOOL,http://www.montfortjunior.moe.edu.sg/,52   HOUGANG AVENUE 8,538786,65101588,na,65101599,na,MONTFORT_JS@MOE.EDU.SG,Hougang MRT & Bus Interchange,"74,88,101,147,161,",MR WONG KENG YUIN WILBUR,MDM POH LEE SIEW,MR TAN WEE BOON,NULL,NULL,NULL,NULL,HOUGANG,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
MONTFORT SECONDARY SCHOOL,https://montfortsec.moe.edu.sg/,50   HOUGANG AVENUE 8,538785,65107070,na,63862804,na,contact@montfortsec.edu.sg,HOUGANG MRT,"74, 74e, 88, 88A, 101, 147, 147A, 161",MR LIM HOCK SEONG KELVIN,MR LEE THUAN SIM,MDM CHING LEE HOE,NULL,NULL,NULL,NULL,HOUGANG,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
NAN CHIAU HIGH SCHOOL,http://www.nchs.edu.sg,20   ANCHORVALE LINK,545079,64897971,na,64897970,na,nchs@moe.edu.sg,"SENGKANG MRT, RENJONG LRT, TONGKANG LRT","43, 83, 85, 109, 156, 159, 161, 163, 372",MISS SIAU FONG FUI,MDM CHOW NYET YOON,NULL,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,No,No,No,Chinese,na,na
NAN CHIAU PRIMARY SCHOOL,http://www.ncps.moe.edu.sg,50   ANCHORVALE LINK,545080,64897905,na,64897906,na,NCPS@MOE.EDU.SG,Sengkang Station,"156, 159, 161, 371, 372",MRS ONG LOH JIA MIIN,MDM LIM SHEUE TYUG,MR JACKSON KEK,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
NAN HUA HIGH SCHOOL,http://www.nanhuahigh.moe.edu.sg,41   CLEMENTI AVENUE 1,129956,67788303,na,67751956,na,nhhs@moe.edu.sg,CLEMENTI MRT,"14, 33, 52, 78, 96, 97, 105, 106, 147, 151, 154, 165, 166, 183, 185, 188, 189, 196, 197, 198, 282, 285, 963",MRS TAN JONG LEK,MDM TAN MOK JEE,MR KONG KOK HENG MELVIN,NULL,NULL,NULL,NULL,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na
NAN HUA PRIMARY SCHOOL,http://www.nanhuapri.moe.edu.sg,30   Jalan Lempeng,128806,67788050,na,67784127,na,nhps@moe.edu.sg,Clementi MRT Station,"30, 51, 143, 175, 201, 533, 655, 727, 762",MDM CHIA HUI KHIM,MDM JOSEPHINE NG,MISS TAN PEIRU,NULL,NULL,NULL,NULL,CLEMENTI,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,DOUBLE SESSION,PRIMARY,Yes,No,Yes,No,Chinese,na,na
NANYANG GIRLS' HIGH SCHOOL,https://www.nygh.edu.sg,2    LINDEN DRIVE,288683,64663275,na,64667564,na,nanyanggirls@nygh.edu.sg,"SIXTH AVENUE MRT, TAN KAH KEE MRT","66, 67, 74, 151, 154, 156, 157, 170, 174, 852, 961",MS NG CHUEN- YIN,DR LIU SHIUEH LING,MISS SEET YING LING BRITTA,MS NG MIEN MIEN AGNES,NULL,NULL,NULL,BUKIT TIMAH,WEST,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,Yes,No,Yes,Yes,Chinese,na,na
NANYANG JUNIOR COLLEGE,http://www.nanyangjc.moe.edu.sg/,128  SERANGOON AVENUE 3,556111,62842281,na,62855147,na,nyjc@moe.edu.sg,2-minute walk from the Lorong Chuan MRT Station (Circle Line),"22, 24, 53, 73, 133, 105, 135, 136, 156, 853",MR LOW CHUN MENG,MISS WU XINPING JENNIFER,MR KOH CHEE HUI,NULL,NULL,NULL,NULL,SERANGOON,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na
NANYANG PRIMARY SCHOOL,http://www.nyps.moe.edu.sg,52   KING'S ROAD,268097,64672677,na,64686913,na,NYPS@MOE.EDU.SG,Farrer Rd MRT Station,"66, 67, 74, 93, 151, 153, 154, 156, 157, 165, 170, 171, 174, 186, 852, 855, 961",MDM LER JIA LUEN,MDM NG BOON IN,MR CHAN CHEONG CHEONG,NULL,NULL,NULL,NULL,BUKIT TIMAH,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,Yes,No,Chinese,na,na
NATIONAL JUNIOR COLLEGE,http://www.nationaljc.moe.edu.sg,37   HILLCREST ROAD,288913,64661144,na,64684535,na,NJC@MOE.EDU.SG,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","66, 67, 74, 151, 154, 156, 157, 170, 174, 852, 961, 972",MR ANG POW CHEW,MR HARMAN AUGUSTUS JOHLL,MDM TAN PHUAY BOON,NULL,NULL,NULL,NULL,BUKIT TIMAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVELS,No,No,No,Yes,Chinese,Malay,Tamil
NAVAL BASE PRIMARY SCHOOL,http://www.navalbasepri.moe.edu.sg/,7    YISHUN AVE 4,769028,67537114,na,67555355,na,NBPS@MOE.EDU.SG,Yishun MRT Station,Feeder bus No. 811 from Yishun Interchange.,MRS SITA SINGH,MR MUHAMMAD FAISAL B PAIRIN,MDM LIM WAI CHOO,NULL,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
NAVAL BASE SECONDARY SCHOOL,http://www.navalbasesec.moe.edu.sg,901  YISHUN RING ROAD,768689,62571996,na,67557706,na,NBSS@MOE.EDU.SG,KHATIB MRT,"39, 85, 117, 670, 807, 811, 812, 851, 852, 853, 854, 855, 857, 858, 965, 969",MR SULAIMAN B MOHAMAD YUSOF,MR LIM SEOW KUAN,MR LYE GUO RONG LIONEL,NULL,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
NEW TOWN PRIMARY SCHOOL,http://www.newtownpri.moe.edu.sg/,300  Tanglin Halt Road,148812,64748805,na,64741249,na,NTPS@MOE.EDU.SG,Commonwealth MRT Station,"SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855",MRS TAN-NG WIE PIN,MR ONG SZE CHONG BRYAN,MRS CHAN-CHIN WEY LING LYNNE,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
NEW TOWN SECONDARY SCHOOL,http://www.newtownsec.moe.edu.sg,1020 DOVER ROAD,139657,67754140,na,67752310,na,ntss@moe.edu.sg,"DOVER MRT, CLEMENTI MRT","33, 96, 96A, 151, 196, 183",MDM TAN SIEW HONG (MRS SNG),MR CHAN KOK TUNG TOM,MR LEONARD TAN SOON TECK,NULL,NULL,NULL,NULL,QUEENSTOWN,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
NGEE ANN PRIMARY SCHOOL,http://www.ngeeannpri.moe.edu.sg,344  MARINE TERRACE,449149,64418677,na,64417411,na,NAPS@MOE.EDU.SG,Nil,"13, 16, 16M, 31,36, 43, 47, 48, 55, 135, 196, 196E, 197, 853M (at Marine Parade road) 13, 16, 16M, 196 and 196E(at Marine Terrace)",MDM PANG SIU SAN,MISS LIAW SHAOJUN,NULL,NULL,NULL,NULL,NULL,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
NGEE ANN SECONDARY SCHOOL,http://www.ngeeannsec.moe.edu.sg,1    TAMPINES STREET 32,529283,67844583,na,67840453,na,nass@moe.edu.sg,"TAMPINES MRT, SIMEI MRT, TAMPINES EAST MRT","3, 4, 8, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 38, 39, 59, 81, 291, 293, 518, 552",MR TEO KOK HONG,MDM TAN LAY GIN,MR TAN YIT KEE,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil
NORTH SPRING PRIMARY SCHOOL,http://www.northspringpri.moe.edu.sg,1    RIVERVALE STREET,545088,68816887,63888764,63851044,na,nsps@moe.edu.sg,NEL - Sengkang Station LRT - Bakau Station,"SBS Transit Services 82, 85, 86, 88, 119, 136, 163, 372",MDM PHAN SWEE LIN SHERIN JACINTA,MR JASBIR SINGH,NULL,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
NORTH VIEW PRIMARY SCHOOL,http://www.northviewpri.moe.edu.sg,210  YISHUN AVENUE 6,768960,67593235,na,67593237,na,NVPS@MOE.EDU.SG,Yishun Khatib,"Feeder Service 804, 806, 807, 860",MDM WONG MEI FOONG,MDM UE TAY SZE YIN,MR RAJINDER SINGH S/O PIARA SINGH,MR HANIFF A T,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
NORTH VISTA PRIMARY SCHOOL,http://www.northvistapri.moe.edu.sg,20   Compassvale Link,544974,64843566,na,64843568,na,nvtps@moe.edu.sg,"Buangkok MRT (NE15), Ranggung LRT (SE5)",na,MR ONG LYE WHATT,MR WEE HOCK MENG VICTOR,MR AMRAN B TASRIF,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na
NORTH VISTA SECONDARY SCHOOL,http://www.northvistasec.moe.edu.sg,11   RIVERVALE LINK,545081,68793930,na,68793931,na,northvistass@moe.edu.sg,"SENGKANG MRT, BUANGKOK MRT, RANGGUNG LRT","80, 82, 87, 88, 89, 119",MR YAP THIAM CHUAN,MR MOHAMED NASIM S/O ABDUL RAHIM,NULL,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
NORTHBROOKS SECONDARY SCHOOL,http://www.northbrookssec.moe.edu.sg,585  YISHUN RING ROAD,768692,67524311,na,67566110,na,NORTHBROOKS@MOE.EDU.SG,"YISHUN MRT, KHATIB MRT","804, 806, 807, 860, 103",MR CHAN CHOON LOONG,MR ADAM BIN AHMAD,MISS POH SHI HUI,NULL,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
NORTHLAND PRIMARY SCHOOL,http://www.northlandpri.moe.edu.sg,15   YISHUN AVENUE 4,769026,67598884,na,67559196,na,NORTHLAND_PS@MOE.EDU.SG,Yishun MRT Station,812 (next to bus service number 171) at Yishun Interchange,MR JAY WESTLY MAHARDALE,MDM NEO AIK SEO,NULL,NULL,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
NORTHLAND SECONDARY SCHOOL,http://www.northlandsec.moe.edu.sg,3    YISHUN STREET 22,768578,62576781,na,62573634,na,NORTHLAND_SS@MOE.EDU.SG,YISHUN MRT,"811, 804, 800",MDM TAN SIEW WOON,MS BIAN YU WEI,MR PETERSON JOSEPH STANLEY,NULL,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
NORTHLIGHT SCHOOL,https://www.nls.edu.sg,151  Towner Road,327830,+65 69296290,na,+ 65 62912423,na,nls@moe.edu.sg,BOON KENG (NE9),"21, 125, 130, 139, 145, 13, 23, 31, 64, 65, 133, 147, 857, 985",MDM SUNG MEE HAR,MR RAJ KUMAR S/O V SIVALINGAM,NULL,NULL,NULL,NULL,NULL,KALLANG,SOUTH,SPECIALISED SCHOOL,CO-ED SCHOOL,FULL DAY,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
NORTHOAKS PRIMARY SCHOOL,http://www.northoakspri.moe.edu.sg,61   Sembawang Drive,757622,6753 8835,na,6753 8864,na,northoaks_ps@moe.edu.sg,Sembawang MRT,Bus number 962,"MR CHER TECK YIANG, LUKE MELVIN",MISS TAN YIT PENG,MDM HO JUN- LYNN,NULL,NULL,NULL,NULL,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
NORTHSHORE PRIMARY SCHOOL,www.northshorepri.moe.edu.sg,30   Northshore Drive,828671,62026490,na,62026491,na,northhshore_ps@moe.edu.sg,Puggol Point LRT Station,"84, 384",MDM LEE YEN PING CHRISTINE,MDM GAN SER MIN,NULL,NULL,NULL,NULL,NULL,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,www.nushigh.edu.sg,20   Clementi Avenue 1,129957,65161709,na,67756910,na,einstein@highsch.nus.edu.sg,Nearest MRT Stations - Clementi and Dover,"96, 97, 151, 183, 188, 189, 196, 197, 198",MDM SOH LAI LENG MAGDALEN,MR GOH HOCK LEONG,MR CLIFTON KOH SIEW BOON,NULL,NULL,NULL,NULL,CLEMENTI,WEST,SPECIALISED INDEPENDENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVELS,No,No,No,Yes,Chinese,Malay,Tamil
